,q,a
112,"<ss type=""hi"">(wave)</ss>, Hello","Hello sir, please ask your query"
113,"How to submit my assignment , Please me give me demo, When we connect??",in induction call mentor will explain how to submit assignemnts
114,"Hello, I have an issue to submit my assignment on github, Please assist me",you can submit the link of assignmnet inside assignment form 
115,Can we connect for 2 min?,please text your query here
116,"When I save my assignment in .ipynb format in my local system. No change inside  my file, But when i upload that file on github account- file is not uploaded properly , My ans are not showing properly ","don&apos;t worry about that, it is just beacuse of file size, just upload the link of that repo, that will be enough"
117,"<a href=""Https://github.com/Ankur037/-iNeuron-Full-Stack-Data-Science-Assignments/blob/main/Assignment_5.ipynb"">Https://github.com/Ankur037/-iNeuron-Full-Stack-Data-Science-Assignments/blob/main/Assignment_5.ipynb</a>, Please check my assignment 5, This is showing correct or not, My ans is not showing properly , Waiting for your reply ","i am not able to see the answers of 2, 3, 4, rest is fine"
118,"Open assignment - 5, You see my all answers property ",i have opened that onlly
119,"Ans- 2 ,3, not showing ",yes
120,"Issue is this, But original file contains all ans",upload that file again on github and check
121,"Wait, Please check now, Same issue ",send your notebook here let me check
122,How can i send??,send your jupyter notebook which is present in your local system
123,Provide me steps,upload your file on drive and send me the link
124,When i upload files on Google drive and opened ,share me the link
125,"<a href=""https://drive.google.com/file/d/1LSWGk-8Sli5UgbnN860sUujT9SNx2_09/view?usp=sharing"">https://drive.google.com/file/d/1LSWGk-8Sli5UgbnN860sUujT9SNx2_09/view?usp=sharing</a>",provide access
126,How?,click on share and give access
127,"shared, Issue has been resolved., <a href=""https://github.com/Ankur037/-iNeuron-Full-Stack-Data-Science-Assignments/blob/main/Assignment_1.ipynb"">-iNeuron-Full-Stack-Data-Science-Assignments/Assignment_1.ipynb at main · Ankur037/-iNeuron-Full-Stack-Data-Science-Assignments (github.com)</a>, oprn this link and check my assignment 1, you seen my all ans or not?",got it
128,"Hello, Hello, How can i prepare my resume , Completed my python module ",you can first create at least 2 projects related to that then start building resume
129,"Hii, Where is python projects??",You need to create real application of python. You can learn from our machine learning lectures 
130,"Machine learning project is python projects , Correct , No separate python projects , Assign me mentor for interview preparation and resume preparation ","<a href=""mailto:shivan@ineuron.ai"">shivan@ineuron.ai</a>, mail him sir he will be your mentor"
